股票代码,年份,省份,城市,城市代码,行业代码,是否ST类,企业创新韧性1,企业创新韧性2,企业创新韧性3,企业创新韧性4,idc_new,idc_stock,ln1p_idc_new,ln1p_idc_stock,ln1p_idc_stock_l1,ln1p_idc_new_l1
601011,2011,黑龙江省,七台河市,230900,C25,0,,,,,0,0,0,0,0,0
601011,2012,黑龙江省,七台河市,230900,C25,0,.49999997,.22619045,.50980395,-.98507464,0,0,0,0,0,0
601011,2013,黑龙江省,七台河市,230900,C25,0,,1.3122803,-4.5555553,-.992082,0,0,0,0,0,0
601011,2014,黑龙江省,七台河市,230900,C25,0,.49999997,-12.322546,13.788331,.93145746,0,0,0,0,0,0
601011,2015,黑龙江省,七台河市,230900,C25,0,-.6825397,-.021893883,-27.750002,-.9896816,0,0,0,0,0,0
601011,2016,黑龙江省,七台河市,230900,C25,0,-.18749999,-46.378674,-16.246153,.81439394,0,0,0,0,0,0
601011,2017,黑龙江省,七台河市,230900,C25,0,-.73015875,10.533333,-1.1038961,-.9936232,0,0,0,0,0,0
601011,2018,黑龙江省,七台河市,230900,C25,0,-3.8000002,.14545456,-1.8542569,-.99385965,0,0,0,0,0,0
601011,2019,黑龙江省,七台河市,230900,C25,0,1,-.044051532,13.034091,1.0111449,0,0,0,0,0,0
601011,2020,黑龙江省,七台河市,230900,C25,0,2.4545455,2.8102858,.067206547,-.99915516,0,0,0,0,0,0
601011,2021,黑龙江省,七台河市,230900,C25,0,-.86842108,-12.077024,-13.229391,-1.047526,0,0,0,0,0,0
601011,2022,黑龙江省,七台河市,230900,C25,0,1.4772727,-.23924525,1.7975589,-.85000002,0,0,0,0,0,0
601011,2023,黑龙江省,七台河市,230900,C25,0,-.84375,.019083461,-.72605652,.99487787,0,0,0,0,0,0
601011,2024,黑龙江省,七台河市,230900,C25,0,-.26373631,.099006258,.34521595,.99709618,0,0,0,0,0,0
613,2000,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2001,海南省,三亚市,460200,H61,0,,,,,0,0,0,0,0,0
613,2002,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2003,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2004,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2005,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2006,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2007,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2008,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2009,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2010,海南省,三亚市,460200,H61,1,,,,,0,0,0,0,0,0
613,2011,海南省,三亚市,460200,H61,1,,,,,0,1,0,.69314718,.69314718,.69314718
2596,2011,海南省,三亚市,460200,C30,0,,,,,0,1,0,.69314718,.69314718,.69314718
2596,2012,海南省,三亚市,460200,C30,0,,,,,0,1,0,.69314718,.69314718,0
613,2012,海南省,三亚市,460200,H61,1,,,,,0,1,0,.69314718,.69314718,0
2596,2013,海南省,三亚市,460200,C30,0,-.25000003,,-.45454547,,0,1,0,.69314718,.69314718,0
613,2013,海南省,三亚市,460200,H61,0,,,,,0,1,0,.69314718,.69314718,0
2596,2014,海南省,三亚市,460200,C30,0,,,,,0,1,0,.69314718,.69314718,0
613,2014,海南省,三亚市,460200,H61,0,,,,,0,1,0,.69314718,.69314718,0
2596,2015,海南省,三亚市,460200,C30,0,,2.701031,,-.99818182,0,1,0,.69314718,.69314718,0
613,2015,海南省,三亚市,460200,H61,0,,,,,0,1,0,.69314718,.69314718,0
613,2016,海南省,三亚市,460200,H61,0,,,,,0,2,0,1.0986123,1.0986123,.69314718
2596,2016,海南省,三亚市,460200,C30,0,,-.16049381,2.9607844,-.99863386,0,2,0,1.0986123,1.0986123,.69314718
600555,2016,海南省,三亚市,460200,K70,0,,,,,0,2,0,1.0986123,1.0986123,.69314718
2596,2017,海南省,三亚市,460200,C30,0,2.6666665,-.33333334,.33333331,-.99972522,0,4,0,1.6094379,1.6094379,1.0986123
600555,2017,海南省,三亚市,460200,K70,0,,,,,0,4,0,1.6094379,1.6094379,1.0986123
613,2017,海南省,三亚市,460200,H61,1,,,,,0,4,0,1.6094379,1.6094379,1.0986123
600555,2018,海南省,三亚市,460200,K70,0,,,,,0,4,0,1.6094379,1.6094379,0
2596,2018,海南省,三亚市,460200,C30,0,-.97297299,-3.7469881,-2.5,-1.0010471,0,4,0,1.6094379,1.6094379,0
613,2018,海南省,三亚市,460200,H61,0,,,,,0,4,0,1.6094379,1.6094379,0
600555,2019,海南省,三亚市,460200,K70,0,,,,,0,4,0,1.6094379,1.6094379,0
2596,2019,海南省,三亚市,460200,C30,0,-3.5555558,.78686428,-.078947388,-.99858379,0,4,0,1.6094379,1.6094379,0
600896,2019,海南省,三亚市,460200,Q83,0,14.666667,,1.7631578,,0,4,0,1.6094379,1.6094379,0
613,2019,海南省,三亚市,460200,H61,0,,,,,0,4,0,1.6094379,1.6094379,0
796,2020,海南省,三亚市,610300,L72,0,-13.666667,-.59142423,-1.3779736,-.99796885,0,4,0,1.6094379,1.6094379,0
600896,2020,海南省,三亚市,460200,Q83,0,,,,,0,4,0,1.6094379,1.6094379,0
2596,2020,海南省,三亚市,460200,C30,0,-26.333334,-.78266394,-.43753934,-.99986815,0,4,0,1.6094379,1.6094379,0
613,2020,海南省,三亚市,460200,H61,0,,,,,0,4,0,1.6094379,1.6094379,0
600555,2020,海南省,三亚市,460200,K70,1,,,,,0,4,0,1.6094379,1.6094379,0
796,2021,海南省,三亚市,460200,L72,0,,,-.19615145,,0,4,0,1.6094379,1.6094379,0
2596,2021,海南省,三亚市,460200,C30,0,-.31092438,-262.81955,-.8851645,.93789953,0,4,0,1.6094379,1.6094379,0
600896,2021,海南省,三亚市,460200,Q83,1,,,,,0,4,0,1.6094379,1.6094379,0
600555,2021,海南省,三亚市,460200,K70,1,,,,,0,4,0,1.6094379,1.6094379,0
613,2021,海南省,三亚市,460200,H61,1,,,,,0,4,0,1.6094379,1.6094379,0
2596,2022,海南省,三亚市,460200,C30,0,-1.4,1.9088819,-699,-.99942601,0,8,0,2.1972246,2.1972246,1.6094379
796,2022,海南省,三亚市,460200,L72,1,0,,-8007,,0,8,0,2.1972246,2.1972246,1.6094379
796,2023,海南省,三亚市,460200,L72,1,,.71771216,,1.0062894,0,11,0,2.4849067,2.4849067,1.3862944
2596,2023,海南省,三亚市,460200,C30,0,-.63824034,-.21692534,3.3095238,-.99963146,0,11,0,2.4849067,2.4849067,1.3862944
600221,2023,海南省,三亚市,460100,G56,0,,.039667893,-17.088888,-.99570733,0,11,0,2.4849067,2.4849067,1.3862944
796,2024,海南省,三亚市,460200,L72,0,-.013888841,-105.48193,.60236222,.99402392,0,13,0,2.6390574,2.6390574,1.0986123
2596,2024,海南省,三亚市,460200,C30,0,-1.6163194,-36.645126,-.31327334,.99974245,0,13,0,2.6390574,2.6390574,1.0986123
600221,2024,海南省,三亚市,460100,G56,0,,-38.437752,-.92716533,-1.2777778,0,13,0,2.6390574,2.6390574,1.0986123
663,2000,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
732,2000,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
732,2001,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
663,2001,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
732,2002,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
663,2002,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
663,2003,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
732,2003,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
663,2004,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
732,2004,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
663,2005,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
732,2005,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
663,2006,福建省,三明市,350481,A02,0,,6.8636365,,-.66666669,0,0,0,0,0,0
2110,2006,福建省,三明市,350400,C31,0,,,,,0,0,0,0,0,0
732,2006,福建省,三明市,350400,C26,1,,,,,0,0,0,0,0,0
663,2007,福建省,三明市,350481,A02,0,,,1.015873,,0,0,0,0,0,0
2110,2007,福建省,三明市,350400,C31,0,,33.5,,-.99834436,0,0,0,0,0,0
732,2007,福建省,三明市,350400,C26,1,,,,,0,0,0,0,0,0
2110,2008,福建省,三明市,350400,C31,0,,59.13636,32.666668,-.99874896,0,0,0,0,0,0
732,2008,福建省,三明市,350400,C26,1,,,,,0,0,0,0,0,0
663,2008,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
2110,2009,福建省,三明市,350400,C31,0,,-1.3001564,85.888885,-1.0002013,0,0,0,0,0,0
732,2009,福建省,三明市,350400,C26,1,,.90099001,,-.99734747,0,0,0,0,0,0
663,2009,福建省,三明市,350481,A02,0,,,,,0,0,0,0,0,0
2110,2010,福建省,三明市,350400,C31,0,3,-.67702824,-.84499997,-.99972075,0,0,0,0,0,0
732,2010,福建省,三明市,350400,C26,0,,,,,0,0,0,0,0,0
663,2010,福建省,三明市,350481,A02,0,,.5502646,.55000007,-.75,0,0,0,0,0,0
2110,2011,福建省,三明市,350400,C31,0,,-5.590476,-.85043991,-1.0023346,0,0,0,0,0,0
663,2011,福建省,三明市,350481,A02,0,,3.7817457,-1,-.94791669,0,0,0,0,0,0
732,2011,福建省,三明市,350400,K70,0,-.1666667,6.6507931,.64516121,-.98214287,0,0,0,0,0,0
2679,2012,福建省,三明市,350400,A02,0,,,,,0,0,0,0,0,0
732,2012,福建省,三明市,350400,K70,0,,,-1,,0,0,0,0,0,0
663,2012,福建省,三明市,350481,A02,0,,-1.7041343,6.2087913,.94444442,0,0,0,0,0,0
2110,2012,福建省,三明市,350400,C31,0,0,-.64793283,-6.8871794,-.9996345,0,0,0,0,0,0
663,2013,福建省,三明市,350481,A02,0,31.999998,3.5885715,-.39659089,-.95238096,0,0,0,0,0,0
732,2013,福建省,三明市,350400,K70,0,,,,,0,0,0,0,0,0
2110,2013,福建省,三明市,350400,C31,0,,4.8400002,-.89628905,-.99908173,0,0,0,0,0,0
2679,2013,福建省,三明市,350400,A02,0,,31.120001,,-.66666669,0,0,0,0,0,0
663,2014,福建省,三明市,350481,A02,0,-6.5555553,-1.4066797,-1.750441,-1.0535715,0,0,0,0,0,0
2679,2014,福建省,三明市,350400,A02,0,,-.48965675,.31327164,-.93277311,0,0,0,0,0,0
732,2014,福建省,三明市,350400,K70,0,,-.4577603,,1.0082644,0,0,0,0,0,0
2110,2014,福建省,三明市,350400,C31,0,,-1.3098513,-.6873163,-1.0012615,0,0,0,0,0,0
2110,2015,福建省,三明市,350400,C31,0,,1.1581305,-1.0658033,-.9988178,0,0,0,0,0,0
2679,2015,福建省,三明市,350400,A02,0,.24999999,,.01235902,,0,0,0,0,0,0
732,2015,福建省,三明市,350400,K70,0,,2.9394448,.31606671,-.99818248,0,0,0,0,0,0
663,2015,福建省,三明市,350481,A02,0,-.16666667,4.1622481,-1,-.9914909,0,0,0,0,0,0
732,2016,福建省,三明市,350400,K70,0,1.25,1.1466049,7.1381111,-.99382716,0,0,0,0,0,0
2679,2016,福建省,三明市,350400,A02,0,,,,,0,0,0,0,0,0
663,2016,福建省,三明市,350481,C21,0,.40625,-6.2689395,7.2772245,-1.002297,0,0,0,0,0,0
2110,2016,福建省,三明市,350400,C31,0,,-78.277779,-6.8427467,-1.75,0,0,0,0,0,0
732,2017,福建省,三明市,350400,K70,0,,-12.085608,-115.01315,-1.0031172,0,0,0,0,0,0
663,2017,福建省,三明市,350481,C21,0,.20370367,-19.845533,-26.515942,-1.0028677,0,0,0,0,0,0
2110,2017,福建省,三明市,350400,C31,0,9.833333,7.4250617,8.73421,-.99837881,0,0,0,0,0,0
2679,2017,福建省,三明市,350400,A02,0,,,,,0,0,0,0,0,0
2110,2018,福建省,三明市,350400,C31,0,,2.9070182,-23.844261,-.99949306,0,0,0,0,0,0
663,2018,福建省,三明市,350481,C21,0,,1,-73.763206,-1,0,0,0,0,0,0
2679,2018,福建省,三明市,350400,A02,0,,,,,0,0,0,0,0,0
732,2018,福建省,三明市,350400,K70,0,,4.2245946,10.422131,-.9896552,0,0,0,0,0,0
2110,2019,福建省,三明市,350400,C31,0,,9.4919338,3.8853626,-.99967784,0,0,0,0,0,0
2679,2019,福建省,三明市,350400,A02,0,,,,,0,0,0,0,0,0
732,2019,福建省,三明市,350400,K70,0,,-161.95581,3.3815691,-1.0076858,0,0,0,0,0,0
663,2019,福建省,三明市,350481,C21,0,113,-54.651936,-.099185757,.8888889,0,0,0,0,0,0
663,2020,福建省,三明市,350481,C21,1,-1,.64516747,-1.643631,-.99835038,0,0,0,0,0,0
2110,2020,福建省,三明市,350400,C31,0,4.227273,-2.1516173,-.40053973,-1.0012285,0,0,0,0,0,0
2679,2020,福建省,三明市,350400,A02,0,,,,,0,0,0,0,0,0
732,2020,福建省,三明市,350400,K70,0,,,-33.181549,,0,0,0,0,0,0
732,2021,福建省,三明市,350400,K70,0,,,,,0,0,0,0,0,0
2679,2021,福建省,三明市,350400,A02,0,,4.5039315,,-.89999998,0,0,0,0,0,0
2110,2021,福建省,三明市,350400,C31,0,-2.8266666,.52219117,-1.525,-1.0002124,0,0,0,0,0,0
663,2021,福建省,三明市,350481,C21,0,-1,-5.3070765,.46666661,-1.0144,0,0,0,0,0,0
732,2022,福建省,三明市,350400,K70,1,,,,,0,0,0,0,0,0
2679,2022,福建省,三明市,350400,A02,0,,-123.19767,5.5708661,-1.2307693,0,0,0,0,0,0
2110,2022,福建省,三明市,350400,C31,0,-.52293575,25.27907,2.523622,-.99969494,0,0,0,0,0,0
663,2022,福建省,三明市,350481,C21,0,-2.6697247,-62.098835,-8.1417322,-1.0010496,0,0,0,0,0,0
2679,2023,福建省,三明市,350400,A02,0,,42.768295,1,1.1,0,0,0,0,0,0
2110,2023,福建省,三明市,350400,C31,0,-1,10.096188,1.614759,-.99984711,0,0,0,0,0,0
663,2023,福建省,三明市,350481,C21,0,.67241389,,-1.8432603,,0,0,0,0,0,0
663,2024,福建省,三明市,350481,C21,0,1.7391305,,4.1440587,,0,0,0,0,0,0
2110,2024,福建省,三明市,350400,C31,0,1.9881424,-.27197036,.87079209,.99979138,0,0,0,0,0,0
2679,2024,福建省,三明市,350400,A02,0,7.2173915,-6.0212765,-27.29653,.84210527,0,0,0,0,0,0
600403,2011,河南省,三门峡市,411281,B06,0,,,,,0,0,0,0,0,0
600403,2012,河南省,三门峡市,411281,B06,0,,2.2586207,6.7012987,-.99621212,0,0,0,0,0,0
600403,2013,河南省,三门峡市,411281,B06,0,,-11.897058,1.6231883,-1.0100896,0,0,0,0,0,0
600403,2014,河南省,三门峡市,411281,B06,0,.44444442,2.9540985,.86831284,-.99836063,0,0,0,0,0,0
600403,2015,河南省,三门峡市,411281,B06,0,,-1,-14.922619,-1,0,0,0,0,0,0
600403,2016,河南省,三门峡市,411281,B06,0,,-3.65625,-13.5,-1.0025773,0,0,0,0,0,0
600403,2017,河南省,三门峡市,411281,B06,1,1.7619048,2.2291667,6.4836955,-.99338627,0,0,0,0,0,0
600403,2018,河南省,三门峡市,411281,B06,0,,-4.347826,.25047618,-1.0015056,0,0,0,0,0,0
600403,2019,河南省,三门峡市,411281,B06,0,,.90635455,-2.1984127,-.99870598,1,1,.69314718,.69314718,0,0
2684,2019,河南省,三门峡市,440500,C38,1,-7.9074073,-9.476923,-30.765226,-1.0009686,1,1,.69314718,.69314718,0,0
2684,2020,河南省,三门峡市,411200,C38,1,1.875,-5.7457628,-2.0126812,-1.0001749,1,2,.69314718,1.0986123,.69314718,.69314718
600403,2020,河南省,三门峡市,411281,B06,0,4.5,-.57627118,-1.6677018,-.99951208,1,2,.69314718,1.0986123,.69314718,.69314718
2684,2021,河南省,三门峡市,411200,C38,1,-5,-25.932331,-2.9647999,-1.0001167,0,2,0,1.0986123,1.0986123,.69314718
600403,2021,河南省,三门峡市,411281,B06,1,-.11111111,6.2368422,.24092625,-.99929231,0,2,0,1.0986123,1.0986123,.69314718
600403,2022,河南省,三门峡市,411281,B06,0,-6.5999999,-30.181818,-.40095773,-1.0001589,0,2,0,1.0986123,1.0986123,0
600403,2023,河南省,三门峡市,411281,B06,0,6.0370369,.35238096,-2.5053873,-.99990714,0,2,0,1.0986123,1.0986123,0
600403,2024,河南省,三门峡市,411281,B06,0,2.3015873,-.30055225,3.8976951,.99955606,0,2,0,1.0986123,1.0986123,0
600730,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600104,2000,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
600627,2000,上海市,上海市,310000,C38,0,,,,,0,0,0,0,0,0
600607,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600675,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600827,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600617,2000,上海市,上海市,310000,C28,0,,,,,0,0,0,0,0,0
600606,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600637,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600641,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600635,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600613,2000,上海市,上海市,310000,I65,0,,,,,0,0,0,0,0,0
600817,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
900939,2000,上海市,上海市,310000,E50,0,,,,,0,0,0,0,0,0
600850,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600781,2000,上海市,上海市,310000,C27,0,,,,,0,0,0,0,0,0
600708,2000,上海市,上海市,310000,G58,0,,,,,0,0,0,0,0,0
600648,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600663,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600851,2000,上海市,上海市,310000,C19,0,,,,,0,0,0,0,0,0
600624,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600836,2000,上海市,上海市,310000,C23,0,,,,,0,0,0,0,0,0
600741,2000,上海市,上海市,310000,N78,0,,,,,0,0,0,0,0,0
600210,2000,上海市,上海市,310000,C41,0,,,,,0,0,0,0,0,0
600625,2000,上海市,上海市,310000,C38,0,,,,,0,0,0,0,0,0
600825,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600655,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600818,2000,上海市,上海市,310000,C37,1,,,,,0,0,0,0,0,0
600732,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600643,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600630,2000,上海市,上海市,310000,C17,0,,,,,0,0,0,0,0,0
600833,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600665,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600615,2000,上海市,上海市,310000,C26,0,,,,,0,0,0,0,0,0
600654,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
900957,2000,上海市,上海市,310000,E50,0,,,,,0,0,0,0,0,0
600819,2000,上海市,上海市,310000,C30,0,,,,,0,0,0,0,0,0
600151,2000,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
900953,2000,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
600661,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600639,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600652,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600170,2000,上海市,上海市,310000,E47,0,,,,,0,0,0,0,0,0
600841,2000,上海市,上海市,310000,C34,0,,,,,0,0,0,0,0,0
600838,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600072,2000,上海市,上海市,310000,C35,0,,,,,0,0,0,0,0,0
600616,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600636,2000,上海市,上海市,310000,C26,0,,,,,0,0,0,0,0,0
600748,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600320,2000,上海市,上海市,310000,C35,0,,,,,0,0,0,0,0,0
600826,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600608,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600843,2000,上海市,上海市,310000,C35,0,,,,,0,0,0,0,0,0
600604,2000,上海市,上海市,310000,C35,0,,,,,0,0,0,0,0,0
600650,2000,上海市,上海市,310000,G58,0,,,,,0,0,0,0,0,0
600634,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600196,2000,上海市,上海市,310000,C27,0,,,,,0,0,0,0,0,0
600835,2000,上海市,上海市,310000,C38,0,,,,,0,0,0,0,0,0
600000,2000,上海市,上海市,310000,J66,0,,,,,0,0,0,0,0,0
600642,2000,上海市,上海市,310000,D44,0,,,,,0,0,0,0,0,0
600081,2000,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
600645,2000,上海市,上海市,310000,C17,0,,,,,0,0,0,0,0,0
600119,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600680,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600115,2000,上海市,上海市,310000,G56,0,,,,,0,0,0,0,0,0
600619,2000,上海市,上海市,310000,C38,0,,,,,0,0,0,0,0,0
600009,2000,上海市,上海市,310000,G58,0,,,,,0,0,0,0,0,0
600605,2000,上海市,上海市,310000,C34,0,,,,,0,0,0,0,0,0
600603,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
900955,2000,上海市,上海市,310000,L72,0,,,,,0,0,0,0,0,0
600623,2000,上海市,上海市,310000,C29,0,,,,,0,0,0,0,0,0
600689,2000,上海市,上海市,310000,C18,0,,,,,0,0,0,0,0,0
600171,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
900929,2000,上海市,上海市,310000,L72,0,,,,,0,0,0,0,0,0
600754,2000,上海市,上海市,310000,H61,0,,,,,0,0,0,0,0,0
600019,2000,上海市,上海市,310000,C31,0,,,,,0,0,0,0,0,0
600632,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600679,2000,上海市,上海市,310000,C37,0,,,,,0,0,0,0,0,0
600629,2000,上海市,上海市,310000,C30,1,,,,,0,0,0,0,0,0
600610,2000,上海市,上海市,310000,C35,1,,,,,0,0,0,0,0,0
600646,2000,上海市,上海市,310000,I65,0,,,,,0,0,0,0,0,0
600842,2000,上海市,上海市,310000,C27,0,,,,,0,0,0,0,0,0
600614,2000,上海市,上海市,310000,C29,0,,,,,0,0,0,0,0,0
600611,2000,上海市,上海市,310000,N78,0,,,,,0,0,0,0,0,0
600822,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600832,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600845,2000,上海市,上海市,310000,C31,1,,,,,0,0,0,0,0,0
600824,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600622,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600618,2000,上海市,上海市,310000,C26,0,,,,,0,0,0,0,0,0
600848,2000,上海市,上海市,310000,C40,0,,,,,0,0,0,0,0,0
600656,2000,上海市,上海市,310000,C26,0,,,,,0,0,0,0,0,0
600651,2000,上海市,上海市,310000,C38,0,,,,,0,0,0,0,0,0
600631,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600837,2000,上海市,上海市,310000,J67,0,,,,,0,0,0,0,0,0
600278,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600649,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600626,2000,上海市,上海市,310000,C17,0,,,,,0,0,0,0,0,0
600061,2000,上海市,上海市,310000,C28,0,,,,,0,0,0,0,0,0
600653,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600620,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600820,2000,上海市,上海市,310000,E48,0,,,,,0,0,0,0,0,0
600633,2000,上海市,上海市,310000,C26,0,,,,,0,0,0,0,0,0
600692,2000,上海市,上海市,310000,G55,0,,,,,0,0,0,0,0,0
900935,2000,上海市,上海市,310000,N78,0,,,,,0,0,0,0,0,0
600676,2000,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
600895,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600846,2000,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600662,2000,上海市,上海市,310000,O79,0,,,,,0,0,0,0,0,0
600150,2000,上海市,上海市,310000,C35,0,,,,,0,0,0,0,0,0
600638,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600628,2000,上海市,上海市,310000,F52,0,,,,,0,0,0,0,0,0
600757,2000,上海市,上海市,310000,C18,0,,,,,0,0,0,0,0,0
600601,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600823,2000,上海市,上海市,310000,K70,0,,,,,0,0,0,0,0,0
600688,2000,上海市,上海市,310000,C25,0,,,,,0,0,0,0,0,0
600018,2000,上海市,上海市,310000,G58,1,,,,,0,0,0,0,0,0
600094,2000,上海市,上海市,310000,C28,0,,,,,0,0,0,0,0,0
600612,2000,上海市,上海市,310000,C41,0,,,,,0,0,0,0,0,0
600621,2000,上海市,上海市,310000,I63,0,,,,,0,0,0,0,0,0
600073,2000,上海市,上海市,310000,C14,0,,,,,0,0,0,0,0,0
600602,2000,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600695,2000,上海市,上海市,310000,C13,0,,,,,0,0,0,0,0,0
600640,2000,上海市,上海市,310000,I63,0,,,,,0,0,0,0,0,0
600844,2000,上海市,上海市,310000,C26,0,,,,,0,0,0,0,0,0
600849,2000,上海市,上海市,310000,C27,0,,,,,0,0,0,0,0,0
600834,2000,上海市,上海市,310000,D46,0,,,,,0,0,0,0,0,0
600647,2000,上海市,上海市,310000,S90,1,,,,,0,0,0,0,0,0
600695,2001,上海市,上海市,310000,C13,0,,,,,0,0,0,0,0,0
600676,2001,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
900953,2001,上海市,上海市,310000,C36,0,,,,,0,0,0,0,0,0
600009,2001,上海市,上海市,310000,G58,0,,,,,0,0,0,0,0,0
600272,2001,上海市,上海市,310000,C18,0,,,,,0,0,0,0,0,0
600653,2001,上海市,上海市,310000,S90,0,,,,,0,0,0,0,0,0
600661,2001,上海市,上海市,310000,S90,0,,28.888889,2.547945,-.97560978,0,0,0,0,0,0
600104,2001,上海市,上海市,310000,C36,0,,28.888889,2.547945,-.99236643,0,0,0,0,0,0
600210,2001,上海市,上海市,310000,C41,0,,21.416666,,-.98255813,0,0,0,0,0,0
600851,2001,上海市,上海市,310000,C19,0,,,,,0,0,0,0,0,0
600837,2001,上海市,上海市,310000,J67,0,,,,,0,0,0,0,0,0
600692,2001,上海市,上海市,310000,G55,0,,,,,0,0,0,0,0,0
600633,2001,上海市,上海市,310000,C26,0,6.4864864,-57.13279,2.547945,-1.3756098,0,0,0,0,0,0
600835,2001,上海市,上海市,310000,C38,0,,28.888889,,-.99523807,0,0,0,0,0,0
600601,2001,上海市,上海市,310000,C39,0,,,,,0,0,0,0,0,0
600730,2001,上海市,上海市,310000,F52,0,,-150.44444,,-2.6666667,0,0,0,0,0,0
600061,2001,上海市,上海市,310000,C28,0,,28.888889,,-.90909094,0,0,0,0,0,0
